date,day_of_week,is_weekend,is_public_holiday,total_arrivals,total_required_nurses,total_staffed_nurses,total_regular_hours,total_overtime_hours,total_locum_hours,total_payroll_cost_zar,total_unfilled_shifts,bcea_violations_today
2025-01-01,Wednesday,False,True,38,10,10,120.0,0.0,0.0,32382.81,0,0
2025-01-02,Thursday,False,False,63,15,15,180.0,0.0,0.0,23745.31,0,0
2025-01-03,Friday,False,False,66,15,15,180.0,0.0,0.0,30128.12,0,0
2025-01-04,Saturday,True,False,50,13,13,156.0,0.0,0.0,33271.88,0,1
2025-01-05,Sunday,True,False,67,16,16,192.0,0.0,0.0,39870.31,0,6
2025-01-06,Monday,False,False,66,15,15,180.0,0.0,0.0,25109.38,0,12
2025-01-07,Tuesday,False,False,67,16,15,180.0,0.0,12.0,35993.12,1,14
2025-01-08,Wednesday,False,False,59,14,14,168.0,0.0,0.0,26385.94,0,14
2025-01-09,Thursday,False,False,74,18,16,192.0,0.0,24.0,41147.19,2,16
2025-01-10,Friday,False,False,64,15,15,180.0,0.0,0.0,27104.69,0,15
2025-01-11,Saturday,True,False,61,15,14,168.0,0.0,12.0,36329.06,1,14
2025-01-12,Sunday,True,False,36,9,9,108.0,0.0,0.0,24282.81,0,9
2025-01-13,Monday,False,False,61,15,15,180.0,0.0,0.0,27776.56,0,15
2025-01-14,Tuesday,False,False,62,15,15,180.0,0.0,0.0,25895.31,0,13
2025-01-15,Wednesday,False,False,61,15,15,180.0,0.0,0.0,28154.69,0,13
2025-01-16,Thursday,False,False,78,18,16,192.0,0.0,24.0,36570.62,2,15
2025-01-17,Friday,False,False,66,15,15,180.0,0.0,0.0,26504.69,0,15
2025-01-18,Saturday,True,False,54,13,13,156.0,0.0,0.0,28432.81,0,11
2025-01-19,Sunday,True,False,53,13,13,156.0,0.0,0.0,29198.44,0,12
2025-01-20,Monday,False,False,67,16,15,180.0,0.0,12.0,32138.44,1,13
2025-01-21,Tuesday,False,False,64,15,13,156.0,0.0,24.0,31336.25,2,12
2025-01-22,Wednesday,False,False,70,17,14,168.0,0.0,36.0,40613.75,3,11
2025-01-23,Thursday,False,False,78,18,14,168.0,0.0,48.0,44472.5,4,12
2025-01-24,Friday,False,False,77,18,15,180.0,0.0,36.0,42620.0,3,13
2025-01-25,Saturday,True,False,61,15,14,168.0,0.0,12.0,42302.5,1,13
2025-01-26,Sunday,True,False,59,14,14,168.0,0.0,0.0,35134.38,0,12
2025-01-27,Monday,False,False,79,19,17,204.0,0.0,24.0,40522.19,2,14
2025-01-28,Tuesday,False,False,85,19,17,204.0,0.0,24.0,41372.19,2,15
2025-01-29,Wednesday,False,False,78,18,18,216.0,0.0,0.0,33507.81,0,18
2025-01-30,Thursday,False,False,67,16,16,192.0,0.0,0.0,31526.56,0,16
2025-01-31,Friday,False,False,69,17,17,204.0,0.0,0.0,31528.12,0,17
2025-02-01,Saturday,True,False,52,13,13,156.0,0.0,0.0,30993.75,0,13
2025-02-02,Sunday,True,False,77,18,15,180.0,0.0,36.0,49513.75,3,15
2025-02-03,Monday,False,False,71,17,15,180.0,0.0,24.0,40820.62,2,13
2025-02-04,Tuesday,False,False,75,18,18,216.0,0.0,0.0,34864.06,0,17
2025-02-05,Wednesday,False,False,73,17,17,204.0,0.0,0.0,32060.94,0,15
2025-02-06,Thursday,False,False,80,19,19,228.0,0.0,0.0,36864.06,0,19
2025-02-07,Friday,False,False,72,17,17,204.0,0.0,0.0,31264.06,0,17
2025-02-08,Saturday,True,False,74,18,18,216.0,0.0,0.0,42432.81,0,17
2025-02-09,Sunday,True,False,71,17,15,180.0,0.0,24.0,47069.06,2,15
2025-02-10,Monday,False,False,80,19,17,204.0,0.0,24.0,42311.25,2,17
2025-02-11,Tuesday,False,False,59,14,14,168.0,0.0,0.0,29595.31,0,14
2025-02-12,Wednesday,False,False,53,13,13,156.0,0.0,0.0,27192.19,0,11
2025-02-13,Thursday,False,False,61,15,15,180.0,0.0,0.0,29907.81,0,12
2025-02-14,Friday,False,False,41,11,11,132.0,0.0,0.0,19264.06,0,10
2025-02-15,Saturday,True,False,60,14,14,168.0,0.0,0.0,33557.81,0,13
2025-02-16,Sunday,True,False,49,13,13,156.0,0.0,0.0,32129.69,0,12
2025-02-17,Monday,False,False,73,17,15,180.0,0.0,24.0,39062.81,2,14
2025-02-18,Tuesday,False,False,63,15,13,156.0,0.0,24.0,35911.25,2,13
2025-02-19,Wednesday,False,False,67,16,15,180.0,0.0,12.0,37235.31,1,15
2025-02-20,Thursday,False,False,60,14,14,168.0,0.0,0.0,29501.56,0,12
2025-02-21,Friday,False,False,63,15,15,180.0,0.0,0.0,28439.06,0,14
2025-02-22,Saturday,True,False,76,18,18,216.0,0.0,0.0,43496.88,0,18
2025-02-23,Sunday,True,False,48,11,11,132.0,0.0,0.0,27003.12,0,11
2025-02-24,Monday,False,False,83,19,17,204.0,0.0,24.0,43225.31,2,17
2025-02-25,Tuesday,False,False,64,15,15,180.0,0.0,0.0,27878.12,0,14
2025-02-26,Wednesday,False,False,52,13,13,156.0,0.0,0.0,26257.81,0,13
2025-02-27,Thursday,False,False,57,13,13,156.0,0.0,0.0,27620.31,0,13
2025-02-28,Friday,False,False,95,21,20,240.0,0.0,12.0,43436.88,1,20
2025-03-01,Saturday,True,False,59,14,14,168.0,0.0,0.0,34707.81,0,14
2025-03-02,Sunday,True,False,60,14,14,168.0,0.0,0.0,33225.0,0,14
2025-03-03,Monday,False,False,72,17,17,204.0,0.0,0.0,32587.5,0,15
2025-03-04,Tuesday,False,False,71,17,17,204.0,0.0,0.0,35156.25,0,15
2025-03-05,Wednesday,False,False,77,18,18,216.0,0.0,0.0,34743.75,0,16
2025-03-06,Thursday,False,False,71,17,17,204.0,0.0,0.0,32200.0,0,17
2025-03-07,Friday,False,False,63,15,15,180.0,0.0,0.0,29507.81,0,15
2025-03-08,Saturday,True,False,58,13,13,156.0,0.0,0.0,28975.0,0,13
2025-03-09,Sunday,True,False,54,13,13,156.0,0.0,0.0,29764.06,0,13
2025-03-10,Monday,False,False,92,21,18,216.0,0.0,36.0,45601.25,3,18
2025-03-11,Tuesday,False,False,76,18,18,216.0,0.0,0.0,33329.69,0,17
2025-03-12,Wednesday,False,False,71,17,17,204.0,0.0,0.0,34656.25,0,16
2025-03-13,Thursday,False,False,75,18,16,192.0,0.0,24.0,37280.0,2,15
2025-03-14,Friday,False,False,76,18,16,192.0,0.0,24.0,37436.25,2,16
2025-03-15,Saturday,True,False,61,15,15,180.0,0.0,0.0,35381.25,0,15
2025-03-16,Sunday,True,False,58,13,13,156.0,0.0,0.0,27803.12,0,13
2025-03-17,Monday,False,False,75,18,18,216.0,0.0,0.0,33926.56,0,17
2025-03-18,Tuesday,False,False,80,19,19,228.0,0.0,0.0,36920.31,0,18
