staff_id,category,skill_level,annual_salary_zar,standard_shift_length_hours,total_days_worked,total_days_sick,total_days_annual_leave,total_days_burnout_absence,total_regular_hours,total_overtime_hours,average_weekly_hours,max_weekly_hours_observed,bcea_45hour_violations_count,bcea_11hour_rest_violations_count,total_regular_cost_zar,total_overtime_cost_zar,total_premium_cost_zar,total_payroll_cost_zar
PN001,Professional Nurse,2,350000,12,296,31,21,15,3552.0,0.0,62.79,84.0,281,0,753593.75,0.0,106093.75,859687.5
PN002,Professional Nurse,2,364000,12,295,50,21,0,3540.0,0.0,62.58,84.0,283,0,762693.75,0.0,91568.75,854262.5
PN003,Professional Nurse,2,377000,12,287,50,21,13,3444.0,0.0,60.88,84.0,277,0,770493.75,0.0,94250.0,864743.75
PN005,Professional Nurse,2,405000,12,302,33,21,0,3624.0,0.0,64.06,84.0,294,0,880875.0,0.0,116437.5,997312.5
PN006,Professional Nurse,2,418000,12,290,47,21,0,3480.0,0.0,61.52,84.0,276,0,852328.12,0.0,94703.12,947031.25
PN008,Professional Nurse,3,446000,12,276,40,21,13,3312.0,0.0,58.55,84.0,259,0,865518.75,0.0,96168.75,961687.5
PN009,Professional Nurse,3,459000,12,291,27,21,0,3492.0,0.0,61.73,84.0,281,0,930909.38,0.0,96103.12,1027012.5
PN011,Professional Nurse,3,486000,12,284,42,17,0,3408.0,0.0,60.24,84.0,268,0,958331.25,0.0,95681.25,1054012.5
PN012,Professional Nurse,3,500000,12,279,45,20,0,3348.0,0.0,59.18,84.0,270,0,979687.5,0.0,107812.5,1087500.0
EN001,Enrolled Nurse,1,200000,12,269,37,21,18,3228.0,0.0,57.06,84.0,252,0,378437.5,0.0,42187.5,420625.0
EN002,Enrolled Nurse,1,207000,12,275,49,21,0,3300.0,0.0,58.33,84.0,260,0,391035.94,0.0,35254.69,426290.62
EN004,Enrolled Nurse,1,222000,12,274,45,17,0,3288.0,0.0,58.12,84.0,257,0,420065.62,0.0,39890.62,459956.25
EN005,Enrolled Nurse,1,229000,12,270,36,21,0,3240.0,0.0,57.27,84.0,256,0,429017.19,0.0,42579.69,471596.88
EN007,Enrolled Nurse,2,244000,12,266,35,21,11,3192.0,0.0,56.42,84.0,252,0,447968.75,0.0,42318.75,490287.5
EN008,Enrolled Nurse,2,251000,12,259,64,21,0,3108.0,0.0,54.94,84.0,241,0,450231.25,0.0,43925.0,494156.25
EA001,Enrolled Nursing Auxiliary,1,150000,12,259,43,21,0,3108.0,0.0,54.94,84.0,247,0,258984.38,0.0,16171.88,275156.25
EA003,Enrolled Nursing Auxiliary,1,170000,12,260,41,21,0,3120.0,0.0,55.15,84.0,248,0,294046.88,0.0,17796.88,311843.75
EA004,Enrolled Nursing Auxiliary,1,180000,12,266,22,21,0,3192.0,0.0,56.42,84.0,257,0,320343.75,0.0,21093.75,341437.5
EA005,Enrolled Nursing Auxiliary,1,190000,12,273,8,21,0,3276.0,0.0,57.91,84.0,261,0,345562.5,0.0,21375.0,366937.5
EA006,Enrolled Nursing Auxiliary,2,200000,12,252,47,21,0,3024.0,0.0,53.45,84.0,240,0,338125.0,0.0,23125.0,361250.0
EA007,Enrolled Nursing Auxiliary,1,210000,12,245,48,21,0,2940.0,0.0,51.97,84.0,230,0,345187.5,0.0,23625.0,368812.5
EA009,Enrolled Nursing Auxiliary,1,230000,12,255,38,21,0,3060.0,0.0,54.09,84.0,238,0,391718.75,0.0,25156.25,416875.0
EA010,Enrolled Nursing Auxiliary,2,240000,12,235,60,21,0,2820.0,0.0,49.85,84.0,207,0,376125.0,0.0,23625.0,399750.0
