date,shift,arrivals_for_shift,required_nurses,filled_staff_assigned,locum_hours_used,locum_cost_zar,shift_total_cost_zar,unfilled_positions_after_locum
2025-01-01,Day,15.6,4,4,0,0.0,11687.5,0
2025-01-01,Evening,15.6,4,4,0,0.0,14554.69,0
2025-01-01,Night,6.8,2,2,0,0.0,3815.62,0
2025-01-02,Day,25.8,7,7,0,0.0,8793.75,0
2025-01-02,Evening,25.8,6,6,0,0.0,9962.5,0
2025-01-02,Night,11.3,2,2,0,0.0,6109.37,0
2025-01-03,Day,27.1,7,7,0,0.0,16975.0,0
2025-01-03,Evening,27.1,6,6,0,0.0,7606.25,0
2025-01-03,Night,11.9,2,2,0,0.0,5578.13,0
2025-01-04,Day,20.5,6,6,0,0.0,11843.76,0
2025-01-04,Evening,20.5,5,5,0,0.0,16757.81,0
2025-01-04,Night,9.0,2,2,0,0.0,6562.5,0
2025-01-05,Day,27.5,7,7,0,0.0,13257.82,0
2025-01-05,Evening,27.5,6,6,0,0.0,9765.63,0
2025-01-05,Night,12.1,3,3,0,0.0,10228.13,0
2025-01-06,Day,27.1,7,7,0,0.0,15031.25,0
2025-01-06,Evening,27.1,6,6,0,0.0,7406.25,0
2025-01-06,Night,11.9,2,2,0,0.0,5578.13,0
2025-01-07,Day,27.5,7,7,0,0.0,10850.0,0
2025-01-07,Evening,27.5,6,6,0,0.0,12593.75,0
2025-01-07,Night,12.1,3,3,0,0.0,7539.07,0
2025-01-08,Day,24.2,7,7,0,0.0,13081.25,0
2025-01-08,Evening,24.2,5,5,0,0.0,6312.5,0
2025-01-08,Night,10.6,2,2,0,0.0,6429.68,0
2025-01-09,Day,30.3,8,8,0,0.0,16750.0,0
2025-01-09,Evening,30.3,7,7,0,0.0,15418.75,0
2025-01-09,Night,13.3,3,1,24,9405.0,11365.94,0
2025-01-10,Day,26.2,7,7,0,0.0,12775.0,0
2025-01-10,Evening,26.2,6,6,0,0.0,10993.75,0
2025-01-10,Night,11.5,2,2,0,0.0,5468.75,0
2025-01-11,Day,25.0,7,7,0,0.0,15156.26,0
2025-01-11,Evening,25.0,6,6,0,0.0,17476.57,0
2025-01-11,Night,11.0,2,2,0,0.0,5671.88,0
2025-01-12,Day,14.8,4,4,0,0.0,12445.32,0
2025-01-12,Evening,14.8,3,3,0,0.0,4664.07,0
2025-01-12,Night,6.5,2,2,0,0.0,7715.63,0
2025-01-13,Day,25.0,7,7,0,0.0,9887.5,0
2025-01-13,Evening,25.0,6,6,0,0.0,8256.25,0
2025-01-13,Night,11.0,2,2,0,0.0,5789.06,0
2025-01-14,Day,25.4,7,7,0,0.0,13562.5,0
2025-01-14,Evening,25.4,6,6,0,0.0,8156.25,0
2025-01-14,Night,11.2,2,2,0,0.0,5578.13,0
2025-01-15,Day,25.0,7,7,0,0.0,12625.0,0
2025-01-15,Evening,25.0,6,6,0,0.0,8906.25,0
2025-01-15,Night,11.0,2,1,12,4702.5,8288.44,0
2025-01-16,Day,32.0,8,8,0,0.0,12275.0,0
2025-01-16,Evening,32.0,7,7,0,0.0,13600.0,0
2025-01-16,Night,14.0,3,3,0,0.0,6367.19,0
2025-01-17,Day,27.1,7,7,0,0.0,14056.25,0
2025-01-17,Evening,27.1,6,6,0,0.0,12250.0,0
2025-01-17,Night,11.9,2,1,12,4702.5,7546.25,0
2025-01-18,Day,22.1,6,6,0,0.0,14562.52,0
2025-01-18,Evening,22.1,5,5,0,0.0,13468.74,0
2025-01-18,Night,9.7,2,2,0,0.0,4640.62,0
2025-01-19,Day,21.7,6,6,0,0.0,12328.15,0
2025-01-19,Evening,21.7,5,5,0,0.0,11937.5,0
2025-01-19,Night,9.5,2,2,0,0.0,6065.63,0
2025-01-20,Day,27.5,7,7,0,0.0,12518.75,0
2025-01-20,Evening,27.5,6,6,0,0.0,10500.0,0
2025-01-20,Night,12.1,3,3,0,0.0,5429.69,0
2025-01-21,Day,26.2,7,7,0,0.0,13031.25,0
2025-01-21,Evening,26.2,6,6,0,0.0,8550.0,0
2025-01-21,Night,11.5,2,2,0,0.0,5171.87,0
2025-01-22,Day,28.7,8,8,0,0.0,17187.5,0
2025-01-22,Evening,28.7,6,6,0,0.0,9800.0,0
2025-01-22,Night,12.6,3,3,0,0.0,7203.13,0
2025-01-23,Day,32.0,8,8,0,0.0,17431.25,0
2025-01-23,Evening,32.0,7,7,0,0.0,13456.25,0
2025-01-23,Night,14.0,3,3,0,0.0,6242.19,0
2025-01-24,Day,31.6,8,8,0,0.0,14068.75,0
2025-01-24,Evening,31.6,7,7,0,0.0,13725.0,0
2025-01-24,Night,13.9,3,3,0,0.0,7640.63,0
2025-01-25,Day,25.0,7,7,0,0.0,16101.56,0
2025-01-25,Evening,25.0,6,6,0,0.0,13664.06,0
2025-01-25,Night,11.0,2,2,0,0.0,5615.63,0
2025-01-26,Day,24.2,7,7,0,0.0,17898.44,0
2025-01-26,Evening,24.2,5,5,0,0.0,10867.19,0
2025-01-26,Night,10.6,2,2,0,0.0,7040.62,0
2025-01-27,Day,32.4,9,9,0,0.0,13281.25,0
2025-01-27,Evening,32.4,7,7,0,0.0,15850.0,0
2025-01-27,Night,14.2,3,2,12,4702.5,8569.69,0
2025-01-28,Day,34.9,9,9,0,0.0,12393.75,0
2025-01-28,Evening,34.9,7,7,0,0.0,15225.0,0
2025-01-28,Night,15.3,3,3,0,0.0,7109.38,0
2025-01-29,Day,32.0,8,8,0,0.0,11143.75,0
2025-01-29,Evening,32.0,7,7,0,0.0,11618.75,0
2025-01-29,Night,14.0,3,3,0,0.0,9593.75,0
2025-01-30,Day,27.5,7,7,0,0.0,10206.25,0
2025-01-30,Evening,27.5,6,6,0,0.0,11743.75,0
2025-01-30,Night,12.1,3,3,0,0.0,7968.75,0
2025-01-31,Day,28.3,8,8,0,0.0,13006.25,0
