item_id,item_name,category,abc_class,used_by_specialty,unit,unit_price_zar,lead_time_mean_days,initial_stock_units,shelf_life_months,supplier_tender_cycle,total_consumption_units,mean_daily_consumption,sd_daily_consumption,orders_placed,units_ordered,total_holding_cost_zar,total_ordering_cost_zar,total_stockout_cost_zar,stockout_units,stockout_days,days,avg_stock_on_hand,service_level,cv,total_cost_zar,inventory_value_zar
A01,paracetamol IV 1g infusion,medicine,A,all,vial,38.0,10,1200,24,annual,12124.0,30.616,27.852,11,12548.0,7294.478,4950.0,0.0,0.0,0,396,804.24,1.0,0.91,12244.478,30561.116
A02,sodium chloride 0.9 percent 1L,medicine,A,all,bag,18.5,7,2400,36,annual,28862.0,72.884,70.885,11,27481.0,7301.223,4950.0,22800.0,114.0,7,396,1653.48,0.996,0.973,35051.223,30589.376
A03,ceftriaxone 1g vial,medicine,A,medicine,vial,22.0,10,320,24,annual,3650.0,9.217,8.366,5,3955.0,2417.215,2250.0,0.0,0.0,0,396,460.328,1.0,0.908,4667.215,10127.222
A04,adrenaline 1mg ampoule,medicine,A,all,ampoule,8.5,14,100,24,annual,731.0,1.846,1.995,2,1108.0,620.2,900.0,0.0,0.0,0,396,305.694,1.0,1.081,1520.2,2598.403
A05,IV cannula 18G,consumable,A,all,each,12.0,21,2400,36,annual,28847.0,72.846,73.338,8,28859.0,5989.415,5200.0,114720.0,956.0,17,396,2091.116,0.967,1.007,125909.415,25093.394
A06,surgical gloves sterile pair,PPE,A,all,pair,9.5,14,5200,60,quarterly,64126.0,161.934,132.541,11,67951.0,10032.189,7150.0,0.0,0.0,0,396,4424.326,1.0,0.818,17182.189,42031.095
A07,oxygen mask non-rebreather adult,consumable,A,all,each,55.0,21,450,48,annual,5480.0,13.838,12.512,8,6072.0,6701.875,5200.0,0.0,0.0,0,396,510.515,1.0,0.904,11901.875,28078.333
A08,blood culture bottle pair aerobic anaerobic,consumable,A,medicine,pair,95.0,14,200,18,annual,2143.0,5.412,5.476,6,2081.0,4999.051,3900.0,0.0,0.0,0,396,220.465,1.0,1.012,8899.051,20944.141
A09,morphine 10mg ampoule,medicine,A,all,ampoule,18.0,28,200,36,annual,2284.0,5.768,6.546,4,2765.0,1852.336,1800.0,0.0,0.0,0,396,431.144,1.0,1.135,3652.336,7760.591
A10,syringe 10mL with needle,consumable,A,all,each,4.2,14,4000,60,quarterly,50300.0,127.02,116.097,7,56506.0,4361.85,4550.0,28350.0,675.0,5,396,4351.073,0.987,0.914,37261.85,18274.508
