date,day_of_week,is_weekend,is_public_holiday,total_arrivals,total_required_nurses,total_staffed_nurses,total_regular_hours,total_overtime_hours,total_locum_hours,total_payroll_cost_zar,total_unfilled_shifts
2025-01-01,Wednesday,False,True,38.0,10,10,80.0,0.0,0.0,17504.32,0
2025-01-02,Thursday,False,False,63.0,15,15,120.0,0.0,0.0,20527.14,0
2025-01-03,Friday,False,False,66.0,15,15,120.0,0.0,0.0,18065.68,0
2025-01-04,Saturday,True,False,50.0,13,13,104.0,0.0,0.0,23659.38,0
2025-01-05,Sunday,True,False,67.0,16,16,128.0,0.0,0.0,25058.38,0
2025-01-06,Monday,False,False,66.0,15,15,120.0,0.0,0.0,22429.14,0
2025-01-07,Tuesday,False,False,67.0,16,16,128.0,0.0,0.0,18506.34,0
2025-01-08,Wednesday,False,False,59.0,14,14,112.0,0.0,0.0,14551.16,0
2025-01-09,Thursday,False,False,74.0,18,18,144.0,0.0,0.0,23942.8,0
2025-01-10,Friday,False,False,64.0,15,15,120.0,0.0,0.0,17810.46,0
2025-01-11,Saturday,True,False,61.0,15,15,120.0,0.0,0.0,28661.42,0
2025-01-12,Sunday,True,False,36.0,9,9,72.0,0.0,0.0,11692.74,0
2025-01-13,Monday,False,False,61.0,15,15,120.0,0.0,0.0,22331.3,0
2025-01-14,Tuesday,False,False,62.0,15,15,120.0,0.0,0.0,16502.18,0
2025-01-15,Wednesday,False,False,61.0,15,15,120.0,0.0,0.0,15035.54,0
2025-01-16,Thursday,False,False,78.0,18,18,144.0,0.0,0.0,23023.0,0
2025-01-17,Friday,False,False,66.0,15,15,120.0,0.0,0.0,19019.94,0
2025-01-18,Saturday,True,False,54.0,13,13,104.0,0.0,0.0,23277.04,0
2025-01-19,Sunday,True,False,53.0,13,13,104.0,0.0,0.0,19507.28,0
2025-01-20,Monday,False,False,67.0,16,16,128.0,0.0,0.0,23988.54,0
2025-01-21,Tuesday,False,False,64.0,15,15,120.0,0.0,0.0,17568.76,0
2025-01-22,Wednesday,False,False,70.0,17,17,136.0,0.0,0.0,19696.0,0
2025-01-23,Thursday,False,False,78.0,18,18,144.0,0.0,0.0,22599.0,0
2025-01-24,Friday,False,False,77.0,18,18,144.0,0.0,0.0,22257.44,0
2025-01-25,Saturday,True,False,61.0,15,15,120.0,0.0,0.0,23839.68,0
2025-01-26,Sunday,True,False,59.0,14,14,112.0,0.0,0.0,21955.28,0
2025-01-27,Monday,False,False,79.0,19,19,152.0,0.0,0.0,25930.22,0
2025-01-28,Tuesday,False,False,85.0,19,19,152.0,0.0,0.0,25264.64,0
2025-01-29,Wednesday,False,False,78.0,18,18,144.0,0.0,0.0,20478.26,0
2025-01-30,Thursday,False,False,67.0,16,16,128.0,0.0,0.0,20008.38,0
2025-01-31,Friday,False,False,69.0,17,17,136.0,0.0,0.0,21054.32,0
2025-02-01,Saturday,True,False,52.0,13,13,104.0,0.0,0.0,20551.1,0
2025-02-02,Sunday,True,False,77.0,18,18,144.0,0.0,0.0,27816.86,0
2025-02-03,Monday,False,False,71.0,17,17,136.0,0.0,0.0,23224.96,0
2025-02-04,Tuesday,False,False,75.0,18,18,144.0,0.0,0.0,26319.86,0
2025-02-05,Wednesday,False,False,73.0,17,17,136.0,0.0,0.0,17942.8,0
2025-02-06,Thursday,False,False,80.0,19,19,152.0,0.0,0.0,21592.72,0
2025-02-07,Friday,False,False,72.0,17,17,136.0,0.0,0.0,20003.3,0
2025-02-08,Saturday,True,False,74.0,18,18,144.0,0.0,0.0,29128.06,0
2025-02-09,Sunday,True,False,71.0,17,17,136.0,0.0,0.0,24492.84,0
2025-02-10,Monday,False,False,80.0,19,19,152.0,0.0,0.0,25339.7,0
2025-02-11,Tuesday,False,False,59.0,14,14,112.0,0.0,0.0,18468.86,0
2025-02-12,Wednesday,False,False,53.0,13,13,104.0,0.0,0.0,14927.08,0
2025-02-13,Thursday,False,False,61.0,15,15,120.0,0.0,0.0,20088.54,0
2025-02-14,Friday,False,False,41.0,11,11,88.0,0.0,0.0,13425.04,0
2025-02-15,Saturday,True,False,60.0,14,14,112.0,0.0,0.0,20167.66,0
2025-02-16,Sunday,True,False,49.0,13,13,104.0,0.0,0.0,18872.04,0
2025-02-17,Monday,False,False,73.0,17,17,136.0,0.0,0.0,22956.26,0
2025-02-18,Tuesday,False,False,63.0,15,15,120.0,0.0,0.0,20487.68,0
2025-02-19,Wednesday,False,False,67.0,16,16,128.0,0.0,0.0,20955.16,0
2025-02-20,Thursday,False,False,60.0,14,14,112.0,0.0,0.0,17071.86,0
2025-02-21,Friday,False,False,63.0,15,15,120.0,0.0,0.0,19329.2,0
2025-02-22,Saturday,True,False,76.0,18,18,144.0,0.0,0.0,32801.0,0
2025-02-23,Sunday,True,False,48.0,11,11,88.0,0.0,0.0,15813.62,0
2025-02-24,Monday,False,False,83.0,19,19,152.0,0.0,0.0,25360.48,0
2025-02-25,Tuesday,False,False,64.0,15,15,120.0,0.0,0.0,20742.9,0
2025-02-26,Wednesday,False,False,52.0,13,13,104.0,0.0,0.0,17089.58,0
2025-02-27,Thursday,False,False,57.0,13,13,104.0,0.0,0.0,15434.42,0
2025-02-28,Friday,False,False,95.0,21,21,168.0,0.0,0.0,27559.44,0
2025-03-01,Saturday,True,False,59.0,14,14,112.0,0.0,0.0,26063.7,0
2025-03-02,Sunday,True,False,60.0,14,14,112.0,0.0,0.0,23019.82,0
2025-03-03,Monday,False,False,72.0,17,17,136.0,0.0,0.0,22696.98,0
2025-03-04,Tuesday,False,False,71.0,17,17,136.0,0.0,0.0,23563.78,0
2025-03-05,Wednesday,False,False,77.0,18,18,144.0,0.0,0.0,20798.06,0
2025-03-06,Thursday,False,False,71.0,17,17,136.0,0.0,0.0,21495.86,0
2025-03-07,Friday,False,False,63.0,15,15,120.0,0.0,0.0,21327.1,0
2025-03-08,Saturday,True,False,58.0,13,13,104.0,0.0,0.0,21328.12,0
2025-03-09,Sunday,True,False,54.0,13,13,104.0,0.0,0.0,20528.18,0
2025-03-10,Monday,False,False,92.0,21,21,168.0,0.0,0.0,27941.72,0
2025-03-11,Tuesday,False,False,76.0,18,18,144.0,0.0,0.0,23750.16,0
2025-03-12,Wednesday,False,False,71.0,17,17,136.0,0.0,0.0,22449.12,0
2025-03-13,Thursday,False,False,75.0,18,18,144.0,0.0,0.0,24559.46,0
2025-03-14,Friday,False,False,76.0,18,18,144.0,0.0,0.0,24005.28,0
2025-03-15,Saturday,True,False,61.0,15,15,120.0,0.0,0.0,23116.7,0
2025-03-16,Sunday,True,False,58.0,13,13,104.0,0.0,0.0,20133.32,0
2025-03-17,Monday,False,False,75.0,18,18,144.0,0.0,0.0,24983.44,0
2025-03-18,Tuesday,False,False,80.0,19,19,152.0,0.0,0.0,24716.88,0
2025-03-19,Wednesday,False,False,56.0,13,13,104.0,0.0,0.0,17542.86,0
2025-03-20,Thursday,False,False,66.0,15,15,120.0,0.0,0.0,20123.02,0
2025-03-21,Friday,False,True,49.0,13,13,104.0,0.0,0.0,28591.68,0
2025-03-22,Saturday,True,False,64.0,15,15,120.0,0.0,0.0,23013.6,0
2025-03-23,Sunday,True,False,55.0,13,13,104.0,0.0,0.0,18917.66,0
2025-03-24,Monday,False,False,83.0,19,19,152.0,0.0,0.0,26907.36,0
2025-03-25,Tuesday,False,False,73.0,17,17,136.0,0.0,0.0,21988.6,0
2025-03-26,Wednesday,False,False,52.0,13,13,104.0,0.0,0.0,17039.78,0
2025-03-27,Thursday,False,False,68.0,16,16,128.0,0.0,0.0,20899.1,0
2025-03-28,Friday,False,False,75.0,18,18,144.0,0.0,0.0,22444.8,0
2025-03-29,Saturday,True,False,55.0,13,13,104.0,0.0,0.0,18615.68,0
2025-03-30,Sunday,True,False,59.0,14,14,112.0,0.0,0.0,24214.7,0
2025-03-31,Monday,False,False,59.0,14,14,112.0,0.0,0.0,17658.38,0
2025-04-01,Tuesday,False,False,81.0,19,19,152.0,0.0,0.0,23754.34,0
2025-04-02,Wednesday,False,False,49.0,13,13,104.0,0.0,0.0,17681.5,0
2025-04-03,Thursday,False,False,61.0,15,15,120.0,0.0,0.0,20957.44,0
2025-04-04,Friday,False,False,54.0,13,13,104.0,0.0,0.0,14928.08,0
2025-04-05,Saturday,True,False,51.0,13,13,104.0,0.0,0.0,17943.66,0
2025-04-06,Sunday,True,False,52.0,13,13,104.0,0.0,0.0,19761.36,0
2025-04-07,Monday,False,False,78.0,18,18,144.0,0.0,0.0,23036.48,0
2025-04-08,Tuesday,False,False,72.0,17,17,136.0,0.0,0.0,20126.14,0
2025-04-09,Wednesday,False,False,51.0,13,13,104.0,0.0,0.0,18916.88,0
2025-04-10,Thursday,False,False,58.0,13,13,104.0,0.0,0.0,18684.46,0
2025-04-11,Friday,False,False,53.0,13,13,104.0,0.0,0.0,14881.38,0
