staff_id,category,skill_level,annual_salary_zar,standard_shift_length_hours,total_days_worked,total_regular_hours,total_overtime_hours,total_payroll_cost_zar,average_weekly_hours,bcea_45hour_violations_count,max_weekly_hours_observed,total_days_sick
PN001,Professional Nurse,2,350000,12,372,3636.0,0.0,764531.85,64.27,294,84.0,48
PN002,Professional Nurse,2,364000,12,368,3780.0,0.0,829237.5,66.82,302,84.0,35
PN003,Professional Nurse,2,377000,12,374,3312.0,0.0,745752.98,58.55,260,84.0,47
PN005,Professional Nurse,2,405000,12,352,3744.0,0.0,901124.83,66.18,303,84.0,21
PN006,Professional Nurse,2,418000,12,361,3264.0,0.0,799424.48,57.7,251,84.0,58
PN008,Professional Nurse,3,446000,12,354,3384.0,0.0,875972.4,59.82,264,84.0,43
PN009,Professional Nurse,3,459000,12,357,3300.0,0.0,885726.79,58.33,262,84.0,46
PN011,Professional Nurse,3,486000,12,347,3300.0,0.0,938587.99,58.33,255,84.0,52
PN012,Professional Nurse,3,500000,12,343,3468.0,0.0,1010156.25,61.3,273,84.0,33
EN001,Enrolled Nurse,1,200000,12,350,3288.0,0.0,379375.0,58.12,258,84.0,57
EN002,Enrolled Nurse,1,207000,12,343,3276.0,0.0,387801.74,57.91,261,84.0,49
EN004,Enrolled Nurse,1,222000,12,336,3312.0,0.0,425616.12,58.55,262,84.0,44
EN005,Enrolled Nurse,1,229000,12,339,3468.0,0.0,458715.48,61.3,280,84.0,28
EN007,Enrolled Nurse,2,244000,12,334,3144.0,0.0,435768.75,55.58,246,84.0,36
EN008,Enrolled Nurse,2,251000,12,352,3024.0,0.0,438073.61,53.45,225,84.0,69
EA001,Enrolled Nursing Auxiliary,1,150000,12,334,3000.0,0.0,251250.36,53.03,231,72.0,63
EA003,Enrolled Nursing Auxiliary,1,170000,12,321,3300.0,0.0,311577.76,58.33,260,84.0,25
EA004,Enrolled Nursing Auxiliary,1,180000,12,316,3204.0,0.0,319500.0,56.64,255,84.0,28
EA005,Enrolled Nursing Auxiliary,1,190000,12,309,3120.0,0.0,331609.76,55.15,244,84.0,28
EA006,Enrolled Nursing Auxiliary,2,200000,12,330,2964.0,0.0,331250.0,52.39,228,72.0,62
EA007,Enrolled Nursing Auxiliary,1,210000,12,326,2952.0,0.0,345843.4,52.18,224,84.0,59
EA009,Enrolled Nursing Auxiliary,1,230000,12,313,3072.0,0.0,393875.36,54.3,243,84.0,26
EA010,Enrolled Nursing Auxiliary,2,240000,12,310,3000.0,0.0,401250.0,53.03,238,84.0,39
