item_id,item_name,category,abc_class,unit,unit_price_zar,on_current_tender,lead_time_mean_days,shelf_life_months,total_consumption_units,mean_daily_consumption,sd_daily_consumption,number_of_stockout_events,total_stockout_units,total_holding_cost_zar,total_ordering_cost_zar,total_stockout_cost_zar,total_expiry_cost_zar,total_orders_placed,avg_stock_on_hand,coefficient_of_variation,service_level_achieved,total_cost_zar,inventory_value_zar
A01,paracetamol IV 1g infusion,medicine,A,vial,38.0,True,10,24,11648,29.41,32.27,31,1016,11659.62,4500.0,386080.0,798.0,10,1291.34,1.1,0.91,403037.62,49070.77
A02,sodium chloride 0.9 percent 1L,medicine,A,bag,18.5,True,7,36,27395,69.18,75.82,0,0,18160.4,5400.0,0.0,6641.5,12,4117.61,1.1,1.0,30201.9,76175.81
A03,ceftriaxone 1g vial,medicine,A,vial,22.0,True,10,24,3276,8.27,10.24,0,0,4524.94,2250.0,0.0,0.0,5,861.95,1.24,1.0,6774.94,18962.82
A04,adrenaline 1mg ampoule,medicine,A,ampoule,8.5,True,14,24,669,1.69,2.54,132,380,270.54,450.0,64600.0,0.0,1,133.65,1.5,0.43,65320.54,1136.05
A05,IV cannula 18G,consumable,A,each,12.0,True,21,36,27755,70.09,84.08,62,4301,7014.57,4550.0,516120.0,2400.0,7,2444.57,1.2,0.85,530084.57,29334.81
A06,surgical gloves sterile pair,PPE,A,pair,9.5,True,14,60,62088,156.79,202.46,77,10836,12367.2,5850.0,1029420.0,4389.0,9,5452.85,1.29,0.83,1052026.2,51802.1
A07,oxygen mask non-rebreather adult,consumable,A,each,55.0,True,21,48,5704,14.4,16.5,52,785,5822.06,4550.0,431750.0,0.0,7,443.69,1.15,0.86,442122.06,24402.93
A08,blood culture bottle pair aerobic anaerobic,consumable,A,pair,95.0,False,14,18,2117,5.35,7.18,75,479,2920.82,3250.0,455050.0,0.0,5,128.62,1.34,0.77,461220.82,12218.49
A09,morphine 10mg ampoule,medicine,A,ampoule,18.0,True,28,36,2299,5.81,7.58,31,248,2408.79,1800.0,89280.0,0.0,4,560.25,1.31,0.89,93488.79,10084.59
A10,syringe 10mL with needle,consumable,A,each,4.2,True,14,60,49774,125.69,155.78,168,21100,3512.42,2600.0,886200.0,1209.6,4,3507.87,1.24,0.58,893522.02,14733.06
B01,paracetamol paediatric suspension 120mg per 5mL 100mL,medicine,B,bottle,28.0,True,14,18,1033,2.61,3.51,16,84,1590.42,1350.0,23520.0,0.0,3,238.36,1.35,0.92,26460.42,6674.18
B02,salbutamol nebule 5mg per 2.5mL,medicine,B,nebule,6.5,True,14,24,4745,11.98,15.47,11,173,1466.51,1350.0,11245.0,0.0,3,943.26,1.29,0.96,14061.51,6131.19
B03,hydrocortisone 100mg vial,medicine,B,vial,14.0,True,14,24,2101,5.31,6.75,0,0,2296.75,1350.0,0.0,0.0,3,689.34,1.27,1.0,3646.75,9650.71
