date,item_id,daily_consumption_units,stock_on_hand_units,stock_on_order_units,order_placed_today,order_quantity_units,stockout_today_units
2025-01-01,A01,22.0,1178.0,0.0,False,0.0,0.0
2025-01-01,A02,26.0,2374.0,0.0,False,0.0,0.0
2025-01-01,A03,9.0,311.0,0.0,False,0.0,0.0
2025-01-01,A04,2.0,98.0,0.0,False,0.0,0.0
2025-01-01,A05,45.0,2355.0,0.0,False,0.0,0.0
2025-01-01,A06,42.0,5158.0,0.0,False,0.0,0.0
2025-01-01,A07,14.0,436.0,737.0,True,737.0,0.0
2025-01-01,A08,6.0,194.0,0.0,False,0.0,0.0
2025-01-01,A09,1.0,199.0,712.0,True,712.0,0.0
2025-01-01,A10,73.0,3927.0,0.0,False,0.0,0.0
2025-01-01,B01,0.0,80.0,0.0,False,0.0,0.0
2025-01-01,B02,16.0,234.0,1707.0,True,1707.0,0.0
2025-01-01,B03,2.0,118.0,776.0,True,776.0,0.0
2025-01-01,B04,0.0,90.0,835.0,True,835.0,0.0
2025-01-01,B05,0.0,40.0,0.0,False,0.0,0.0
2025-01-01,B06,2.0,258.0,1316.0,True,1316.0,0.0
2025-01-01,B07,39.0,1461.0,5351.0,True,5351.0,0.0
2025-01-01,B08,3.0,497.0,2128.0,True,2128.0,0.0
2025-01-01,B09,3.0,137.0,765.0,True,765.0,0.0
2025-01-01,B10,0.0,60.0,253.0,True,253.0,0.0
2025-01-01,B11,6.0,174.0,1120.0,True,1120.0,0.0
2025-01-01,B12,4.0,296.0,0.0,False,0.0,0.0
2025-01-01,C01,0.0,12.0,47.0,True,47.0,0.0
2025-01-01,C02,1.0,99.0,958.0,True,958.0,0.0
2025-01-01,C03,0.0,18.0,0.0,False,0.0,0.0
2025-01-01,C04,1.0,79.0,0.0,False,0.0,0.0
2025-01-01,C05,0.0,40.0,421.0,True,421.0,0.0
2025-01-01,C06,0.0,60.0,0.0,False,0.0,0.0
2025-01-01,C07,0.0,80.0,0.0,False,0.0,0.0
2025-01-01,C08,0.0,15.0,118.0,True,118.0,0.0
2025-01-02,A01,15.0,1163.0,0.0,False,0.0,0.0
2025-01-02,A02,150.0,2224.0,0.0,False,0.0,0.0
2025-01-02,A03,8.0,303.0,0.0,False,0.0,0.0
2025-01-02,A04,4.0,94.0,0.0,False,0.0,0.0
2025-01-02,A05,157.0,2198.0,3577.0,True,3577.0,0.0
2025-01-02,A06,111.0,5047.0,0.0,False,0.0,0.0
2025-01-02,A07,6.0,430.0,737.0,False,0.0,0.0
2025-01-02,A08,4.0,190.0,0.0,False,0.0,0.0
2025-01-02,A09,2.0,197.0,712.0,False,0.0,0.0
2025-01-02,A10,32.0,3895.0,0.0,False,0.0,0.0
2025-01-02,B01,3.0,77.0,0.0,False,0.0,0.0
2025-01-02,B02,3.0,231.0,1707.0,False,0.0,0.0
2025-01-02,B03,2.0,116.0,776.0,False,0.0,0.0
2025-01-02,B04,0.0,90.0,835.0,False,0.0,0.0
2025-01-02,B05,0.0,40.0,0.0,False,0.0,0.0
2025-01-02,B06,25.0,233.0,1316.0,False,0.0,0.0
2025-01-02,B07,43.0,1418.0,5351.0,False,0.0,0.0
2025-01-02,B08,20.0,477.0,2128.0,False,0.0,0.0
2025-01-02,B09,3.0,134.0,765.0,False,0.0,0.0
2025-01-02,B10,4.0,56.0,253.0,False,0.0,0.0
2025-01-02,B11,27.0,147.0,1120.0,False,0.0,0.0
2025-01-02,B12,31.0,265.0,0.0,False,0.0,0.0
2025-01-02,C01,0.0,12.0,47.0,False,0.0,0.0
2025-01-02,C02,4.0,95.0,958.0,False,0.0,0.0
2025-01-02,C03,0.0,18.0,0.0,False,0.0,0.0
2025-01-02,C04,0.0,79.0,0.0,False,0.0,0.0
2025-01-02,C05,0.0,40.0,421.0,False,0.0,0.0
2025-01-02,C06,7.0,53.0,0.0,False,0.0,0.0
2025-01-02,C07,0.0,80.0,0.0,False,0.0,0.0
2025-01-02,C08,0.0,15.0,118.0,False,0.0,0.0
2025-01-03,A01,109.0,1054.0,0.0,False,0.0,0.0
2025-01-03,A02,14.0,2210.0,0.0,False,0.0,0.0
